name,Length,key_features,thickness,colors,durability,damping_level,grip_pattern,Feel,traction,price,ergonomics,Grip Attachment System,co_branding,locking_mechanism,riding_style,differentiator
ELITE PRO LOCK-ON GRIPS ,130mm,Ergonomic design conforms to hand; Half-waffle pattern; Feels thin but has padding of thicker grip,"Hybrid, medium to large",Black; Red; Graphite; Army Green; Yeti - Turquoise; Navy Blue,Soft reinforced ends.,High,Hybrid -comfort and traction,"Thin feel with padding of thick grip, good finger traction",Great,24.95,Ergonomic design conforms to hand shape,v2.1 (Single Clamp),,Lock-On,Cross-Country; Enduro; All Mountain,Hybrid Feel
AG-2 LOCK-ON GRIPS ,135mm,"Ultra-soft pro compound; medium diameter with offset design; agressive traction and control, reinforced ends","Hybrid, medium offset",Black Grey; Black Blue; Red Fire Red; Brt Blue Light Blue; Graphite Grey Red,Hard plastic with Aluminum reinforced ends,Medium,Grippy with finger traction,Medium diameter with extra padding on rider side and agressive finger traction,Excellent,24.98,"More padding on palm side, excellent finger traction",v2.1 (Single Clamp),Aaron Gwin partnership,Lock-On,Downhill; Enduro; Race,Agressive Control with improved padding
VANS V2.1 LOCK-ON GRIPS ,135mm,Vans waffle pattern; 31mm diameter; Mini flange protection,Medium,Black; Red; Graphite; Light Blue; Gum Rubber; Iridescent Purple,Soft reinforced ends.,Medium,Consistent medium diameter with good damping,Thin feel with consistent pattern all the way around the grip.,Good,30.94,Mini flange and consistent feel,v2.1 (Single Clamp),Vans partnership,Lock-On,All Disciplines,Consistent Vans Pattern Feel
REFLEX LOCK-ON GRIPS,135mm,Reduces impacts and vibration; 33.5mm diameter; Angled waffle pattern,Large (Standard) -Thick (XL),Black; Red; Gray; Army Green; Tan; Blue; Orange; Pink; Purple,Soft reinforced ends.,High,Ribbed palm with aggresive finger traction,Softer feel on palm side with aggressive traction on finger side.,Great,30.95,Ribs conform to hands/reduces torsional forces on hands,v2.1 (Single Clamp),,Lock-On,Downhill; All Mountain; Dirt Jump,Vibration/torque reduction; comfort
ROGUE V2.1 LOCK-ON GRIPS,135mm,Classic Rogue large pad design; 33.5mm diameter; Single-clamp lock-on system,Thick,Black; Blue; Grey; Red,Soft reinforced ends.,High,Large Raised Pads,Feels like a thick grip due to large pads with consistent feel around the entire grip.,Good,30.95,Better fit for large hands with consistent padding/feel,v2.1 (Single Clamp),,Lock-On,Downhill; Enduro,Large diameter with large pads
RUFFIAN V2.1 LOCK-ON GRIPS,135mm,Diamondized pattern; 30mm diameter; Single-clamp lock-on system,Thin (Standard)- Medium (XL),Black; Blue; Grey; Red; Purple,Soft reinforced ends.,Low,Aggressive Knurling,Thin feel with aggressive traction pattern; significant feedback from the bike/trail,Excellent,30.95,Thin feel for control while allowing feedback from bike/trail,v2.1 (Single Clamp),,Lock-On,Downhill; BMX; Race,Agressive Control
F-1 SERIES DREAD LOCK V2.1 LOCK-ON GRIPS,135mm,Ultra-soft A.I.R.E. compound; Offset design; Contoured surface,Thick,Black; Blue; Graphite,Soft reinforced ends.,Low,Smooth pattern with contoured finger cutouts,Soft and smooth feel with improved grip in finger area,Good,35.5,Fit large hands with reduced feedback and contoured finger grip.  ,v2.1 (Single Clamp),Tinker Juarez Signature,Slip-On,Cross-Country; All Mountain,Lighter weight with reduced feedback and thick feel
VANQUISH LOCK-ON GRIPS 135MM,135mm,D3O GRIP material for 2x Vibration damping; Progressive multi-layered pattern; Double-reinforced ends,Medium,Black Graphite; Blue Black; Gray Graphite; Orange Black; Pink Gray; Purple Black,Double-reinforced soft ends,High,Multi-layered pads with finger traction,Medium diameter padded feel with vibration isolation.,Great,44.95,Grip pattern matched to section of hands to balance traction and comfort.,v2.1 (Single Clamp),D3O material science and innovation,Lock-On,Enduro; Downhill; All Mouintain,Maximum vibration reduction in Medium Diameter
AG-2 LOCK-ON GRIPS 135MM,135mm,Ultra low profile; Agressive traction and control; aluminum reinforced ends,Very Thin,Black Grey;Red Fire Red; Brt Blue Light Blue,Hard plastic with Aluminum reinforced ends,Low,Knurled with finger traction,Ultra thin with aggressive finger traction and feedback from bike.,Excellent,,Ultra thin feel with raised ends for racing feel.,v2.1 (Single Clamp),Aaron Gwin partnership,Lock-On,"Agressive Race, BMX",Ultra Thin agressive Race pattern with reinforced ends
CF V2.1 LOCK-ON GRIP 135mm,135mm,"Carbon Fiber surface pattern with microtexturing for extreme traction, inverted finger traction, carbon fiber reinforced ends.",Medium,Pearl Black Graphite; Pearl Black Red; Lynx Gray Orange; Cosmic Purple Pearl; Sapphire Blue,Carbon Fiber reinforced ends,Low,High surface traction with cutouts for finger traction,Mediuam diameter with agressive traction with smooth consistent feel around the grip.,Excellent,,Consistent feel with agressive surface traction with feedback from bike/trail,v2.1 (Single Clamp),Connor Fields partnership,Lock-On,"BMX, All Mountain",Medium diameter with agressive traction and smooth consistent feel
LONGNECK LOCK-ON,135mm,Ultra soft ribbed pattern; full flange; Lock-On ,Medium,Black,Soft reinforced ends.,High,Thin flexible ribs conform to hand and reduce impact transfer.,Soft squishy feel,Good,,Soft ribs conform to hands,v2.1 (Single Clamp),,Lock-On,BMX; Dirt Jump; E-Bike; Downhill,Easy to Ride with great impact isolation
