question_id,question
1,"I love to mountain bike with my friends on the weekend, but as I have gotten older I notice my hands are hurting more and more after each ride. I currently run the Ruffian Lock-On grips. Can you recommend a grip that will help me ride with less pain?"
2,"I am 6'4"" and need a larger grip for my large hands. What do you recommend?"
3,My daughter is a 14 year old downhill racer who is actively engaged in racing internationally. She needs a grip that will provide excellent traction and control and loves the color purple. What grip options do I have?
4,I race BMX and can only use ultra narrow grips. What do you recommend?
5,I just got an e-bike and the grips on it are horrible. They are made of what seems like hard plastic. I want something more comfortable for casual rides. Any recommendations?
6,My son races BMX and Slalom. He riders a carbon supercross for BMX and a carbon Trek for Slalom. He prefers something with good feel and the ability to react quickly. What do you recommend?
7,"My hands are a bit on the larger size (I wear size L gloves) so I need a grip that is a bit larger, but I hate the feel of very large bulky grips. I want something with more padding than the aggressive racing grips. What grips should I look into?"
8,"I ride all different kinds of bikes: BMX, Big Wheel BMX (29er), and mountain bike. I like a grip with a consistent feel all the way around the grip and want a grip style I can use across all my bikes. I prefer medium to thin grips and would love for it to match my gumwall tires on my Big Whell BMX."
9,"I am a female rider with smaller hands. I want a grip that has good impact damping, but is not too large or bulky feeling. What are my options and how do they stack up on impact damping?"
10,I race cross country and would like a comfortable lock-on grip that is also not too heavy. What is the best grip for comfort with the least amount of weight penalty?
11,"Been looking for nice soft plush grips. I ordered five different styles so I could see which I like best and return the remainder, but none are as soft or squishy as I was expecting!Is there anything softer than these? "
12,im looking to get some lock on grips. As far as colours go either black or white will be good. Any recommendations?
13,What soft grips do you use that are comfortable on the hands with good shock absorption that aren’t chunky’s or fat paws?
14,Can you recommend some lockon grips for light enduro/trail?
15,Needing some new grips and wanted to know what others are using. Are they good in the wet? Are they lock on or not? Are they squishy or firm?
16,I’m looking for something comfortable but rugged. What are the best grips to get?
17,"I care more about comfort and durability. I ride without gloves in the summer, it sometimes rain in spring where I live, which grip to choose?"
18,"I have hands that are the smaller side (more like 11-13 hands), and my current grips are 32 or 33mm wide, no taper. They wear down alarmingly quickly, and they are too hard, not enough give in them. My style of riding is trail, I don't ride super gnarly stuff, all of the stuff I ride is rated intermediate or below. I don't ride rock gardens, though I do love smaller jumps. Any suggestions?"
19,"My hands are hurting, between my thumb and pointe with my old grip, maybe it's because too thin of rubber?  Looking for something that has either a plastic end cap or very hard rubber, but also has good grip and is relatively durable. Any suggestions?"
20,"Any suggestions for winter wet weather grip? Heading to Whistler in a few weeks, planning for rain. I have the other grips and found them to be a little slick last time i rode in the rain. "
21,I am looking to change from stock grips what's the best option
22,I get hand pain? what grips do you use to tone it down? I’ve switched to the one up carbon and rolled the bars back a bit to spread the weight across the whole palm. But can’t seem to get rid of the pain on the outside palm.
23,Need to update my old grips. I have smaller hands. Looking for good tackiness and shock absorption. 
24,I am looking for grips that have waffle pattern on them because i love the touch and play with it. Do you have any recommendation? 
25,Which budget friendly handlebar grips do you guys reccomend for riding downhill.
